headline,section,locations,word_count,snippet,source,subjects,url,desk,date,type,id,abstract
ON THE RECORD/Bush and the Death Penalty; Texas' Busy Death Chamber Helps Define Bush's Tenure,Front Page; U.S.,[],2716,"George W. Bush had not quite finished his second week as governor of Texas  in 1995 when the first death penalty cases of his administration landed on his desk. They would make for quite an initiation: Two executions were scheduled for Jan. 31, a...",The New York Times,[],http://www.nytimes.com/2000/01/07/us/record-bush-death-penalty-texas-busy-death-chamber-helps-define-bush-s-tenure.html,National Desk,7/1/2000,Special Report,4fd233c68eb7c8105d7c47d9,
WORLD BRIEFING,World,[],1237,"EUROPE    BRITAIN: EX-CABINET AIDE FREED  Jonathan Aitken, 57, a former Conservative Party cabinet minister found guilty of perjury last year in a doomed libel action, was freed from jail after serving 7 months of an 18-month sentence. He must now...",The New York Times,[],http://www.nytimes.com/2000/01/08/world/world-briefing.html,Foreign Desk,8/1/2000,News,4fd233bf8eb7c8105d7c42fe,
"After Crisis, Reform Bills Languish In Brazil",World,[u'BRAZIL'],794,"One year after a currency crisis sparked fears that the Brazilian economy was heading toward an Asian-style meltdown, growth has resumed, calm has returned and it is once again business as usual here. In other words, Brazil's Congress is acting as if...",The New York Times,"[u'CURRENCY', u'FINANCES', u'POLITICS AND GOVERNMENT', u'BUDGETS AND BUDGETING', u'ECONOMIC CONDITIONS AND TRENDS', u'ELECTIONS']",http://www.nytimes.com/2000/01/09/world/after-crisis-reform-bills-languish-in-brazil.html,Foreign Desk,9/1/2000,News,4fd21fba8eb7c8105d7a301f,"Pres Fernando Henrique Cardoso summons lawmakers back to Brasilia for special session to consider his 2000 budget; congressional leaders, mindful of local elections, have dismissed his austerity package and countered with proposals of their own that would limit presidential powers and dip further into federal purse; just one year ago, currency crisis in Brazil sparked fears that country's economy was headed toward meltdown; growth has resumed, and it is once again business as usual in Congress (M)"
Teenagers Work to Be Tomorrow's Stars,Theater; New York and Region,[],1332,"WHEN the winners' names are announced for the Golden Globe Awards and the Tonys, there is excitement offstage as well as on. In somebody's living room, somewhere in America, somebody is inevitably saying, ''Hey! I went to high school with her; we had...",The New York Times,"[u'BIOGRAPHICAL INFORMATION', u'DANCING', u'THEATER']",http://www.nytimes.com/2000/01/09/nyregion/teenagers-work-to-be-tomorrow-s-stars.html,Westchester Weekly Desk,9/1/2000,News,4fd233c48eb7c8105d7c46f8,"Profiles of dancer Lauren Bensal, 16, student at Briarcliff High School in Briarcliff Manor, NY, who has turned down chance to perform in Saturday Night Fever in order to further her education and aspiring playwright Elizabeth Levenson, 16, student at Ardsley High School, who has been accepted at New York University's Tisch School of the Arts; photos (M)"
Clinton to Offer Aid in Colombia Drug War,World,[u'COLOMBIA'],785,"President Clinton plans to announce on Tuesday a $1.28 billion emergency aid program for Colombia to help that country fight the growing narcotics trade and to prop up its democracy over the next two years, a senior administration official said...",The New York Times,"[u'COLOMBIA-INTERNATIONAL RELATIONS-US', u'CIVIL WAR AND GUERRILLA WARFARE', u'ECONOMIC CONDITIONS AND TRENDS', u'FOREIGN AID', u'DRUG ABUSE AND TRAFFIC']",http://www.nytimes.com/2000/01/11/world/clinton-to-offer-aid-in-colombia-drug-war.html,Foreign Desk,11/1/2000,News,4fd230348eb7c8105d7be723,"Pres Clinton plans $1.28 billion emergency aid program to help Colombia fight growing drug trade and to prop up its democracy over next two years; much of money would be spent on military hardware to upgrade Colombian forces battling narcotics traders, many of whom are aligned with antigovernment rebels; funds would also be used to help strengthen justice system and aid people displaced by civil war (M)"
PINOCHET IS RULED UNFIT FOR A TRIAL AND MAY BE FREED,World; Front Page,"[u'GREAT BRITAIN', u'CHILE', u'SPAIN']",1098,Britain declared tonight that Gen. Augusto Pinochet was medically unfit to stand trial in Spain and that it was now inclined to abandon the extradition case against him.     The statement opens the way for the former Chilean dictator to avoid charges...,The New York Times,"[u'EXTRADITION', u'POLITICS AND GOVERNMENT', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/01/12/world/pinochet-is-ruled-unfit-for-a-trial-and-may-be-freed.html,Foreign Desk,12/1/2000,News,4fd210f48eb7c8105d7860a1,"Britain declares Gen Augusto Pinochet medically unfit to stand trial in Spain for alleged human rights abuses in Chile; Home Sec Jack Straw announces decision based on recent examination by four British doctors, and indicates he is inclined to drop extradition proceedings; contacts various rights groups that have been party to case; Pinochet has been under house arrest for 15 months and agreed to independent medical examination after reportedly suffering series of small strokes last September (M)"
World Briefing,World,[],899,"EUROPE    FRANCE: TRUCK PROTEST CONTINUES -- Thousands of trucks stayed backed up at France's borders on the second day of a blockade by truck owners protesting higher fuel prices and a government-imposed move to reduce the workweek, without reducing...",The New York Times,[],http://www.nytimes.com/2000/01/12/world/world-briefing.html,Foreign Desk,12/1/2000,News,4fd2203d8eb7c8105d7a3cf7,
The Global Willowbrook,Health; Magazine,[u'MEXICO'],4960,"There were 10 people traveling with the international human rights delegation, several of them Americans who looked extremely gringo and spoke no Spanish. They were in a Dodge Ram van that was almost as big as a city bus, and so it seemed a safe bet...",The New York Times,"[u'FINANCES', u'MENTAL HEALTH AND DISORDERS', u'FREEDOM AND HUMAN RIGHTS']",http://www.nytimes.com/2000/01/16/magazine/the-global-willowbrook.html,Magazine Desk,16/1/2000,News,4fd233c48eb7c8105d7c4697,Michael Winerip article on drive by Mental Disability Rights International for humane treatment of mentally ill worldwide; describes site visit by group to one of Mexico's decrepit mental hospitals; group seeks to add nation's treatment of mentally disabled to list of human rights; was founded by Eric Rosenthal and is financed by George Soros's Open Society Institute; photos (L)
"Correspondence/Jail-House Translator; Seeking Asylum, Some Immigrants Find A Fate Worse Than Criminal",Week in Review,[u'CHINA'],1425,"I WAS, frankly, unprepared for jail in this country.    While living in Asia, I often encountered people -- particularly Chinese -- who had endured Kafkaesque months or years in prison without ever committing a crime. Their futures were decided not...",The New York Times,"[u'ASYLUM (POLITICAL)', u'PRISONS AND PRISONERS', u'IMMIGRATION AND REFUGEES']",http://www.nytimes.com/2000/01/16/weekinreview/correspondence-jail-house-translator-seeking-asylum-some-immigrants-find-fate.html,Week in Review Desk,16/1/2000,News,4fd203368eb7c8105d7691ae,"Nicholas D Kristof article on shabby treatment of five Chinese women for whom he acted as a translator while they were being held in an Oregon jail pending outcome of their asylum applications; notes that they are among the 17,000 asylum-seekers being held in prisons and jails across the country; says those whose applications are approved--too often the best-coached, smoothest liars rather than the most deserving applicants--should go on to lead rich lives in their new country, while those whose applications are rejected will be sent home with a memory of America that should shame us all; drawing (M)"
"Paid Notice: Deaths  AXENFIELD, SIDNEY",Paid Death Notices,[],268,"AXENFIELD-Sidney. After a brief illness, Sidney Axenfield (formerly of New York City) passed peacefully in his 90th year at Hearthstone, Lee, Mass., on January 19, 2000. A veteran of World War II, Sidney returned to New York in 1946 and completed his...",The New York Times,[],http://www.nytimes.com/2000/01/22/classified/paid-notice-deaths-axenfield-sidney.html,Classified,22/1/2000,Paid Death Notice,4fd1f22e8eb7c8105d74975e,
